hierarchy;id_category;prazo
26956 - Video Games/Acessórios e Controles/Outros;26956;7 - 30
22862 - Celulares e Acessórios/Wearables/Tomadas e Carregadores;22862;7 - 30
26959 - Video Games/Jogos/Xbox;26959;7 - 30
26960 - Video Games/Jogos/Nintendo;26960;7 - 30
22865 - Celulares e Acessórios/Wearables/Outros;22865;7 - 30
22866 - Celulares e Acessórios/Wearables/Smartwatch e Relógio Inteligente;22866;7 - 30
22867 - Celulares e Acessórios/Wearables/Acessórios para Smartwatch;22867;7 - 30
26964 - Saúde e Beleza/Cuidados com o Cabelo/Shampoo;26964;7 - 30
26965 - Saúde e Beleza/Cuidados com o Cabelo/Finalizador e Modelador;26965;7 - 30
26966 - Saúde e Beleza/Cuidados com o Cabelo/Gel e Fixadores;26966;7 - 30
22872 - Celulares e Acessórios/Wearables/VR;22872;7 - 30
22873 - Celulares e Acessórios/Wearables/Óculos VR;22873;7 - 30
22874 - Eletros e Portáteis/Ar e Ventilação/Ar Condicionado;22874;7 - 30
26971 - Saúde e Beleza/Cuidados com o Corpo/Sabonete Corporal;26971;7 - 30
26972 - Saúde e Beleza/Cuidados com o Corpo/Esfoliantes;26972;7 - 30
26973 - Saúde e Beleza/Cuidados com o Corpo/Máscaras Corporais;26973;7 - 30
26974 - Saúde e Beleza/Cuidados com o Corpo/Óleo Corporal;26974;7 - 30
26975 - Saúde e Beleza/Cuidados com o Corpo/Hidratantes;26975;7 - 30
26976 - Saúde e Beleza/Cuidados com o Corpo/Desodorante;26976;7 - 30
26977 - Saúde e Beleza/Cuidados com o Corpo/Óleo de Massagem;26977;7 - 30
22882 - Eletros e Portáteis/Ar e Ventilação/Outros;22882;7 - 30
26979 - Saúde e Beleza/Cuidados com o Corpo/Protetor Solar;26979;7 - 30
26980 - Saúde e Beleza/Cuidados com o Corpo/Cuidados com os Seios;26980;7 - 30
22885 - Bebês e Crianças/Andadores e Carrinhos/Carrinho, Canguru & Carregador de Bebê;22885;7 - 30
22886 - Bebês e Crianças/Andadores e Carrinhos/Assentos de Carro;22886;7 - 30
